"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
1,2,2013-03-26,6686,747,1,1,"0",1
1,3,2013-03-27,6660,779,1,1,"0",1
1,4,2013-03-28,7285,902,1,1,"0",1
1,5,2013-03-29,0,0,0,1,"b",1
1,6,2013-03-30,7132,773,1,0,"0",0
1,7,2013-03-31,0,0,0,0,"0",0
1,1,2013-04-01,0,0,0,0,"b",1
1,2,2013-04-02,5484,629,1,0,"0",1
1,3,2013-04-03,4625,594,1,0,"0",1
1,4,2013-04-04,4293,566,1,0,"0",1
1,5,2013-04-05,4390,571,1,0,"0",1
1,6,2013-04-06,5075,657,1,0,"0",0
1,7,2013-04-07,0,0,0,0,"0",0
1,1,2013-04-08,6046,695,1,1,"0",0
1,2,2013-04-09,5514,594,1,1,"0",0
1,3,2013-04-10,4903,575,1,1,"0",0
1,4,2013-04-11,4366,541,1,1,"0",0
1,5,2013-04-12,5263,614,1,1,"0",0
1,6,2013-04-13,4773,608,1,0,"0",0
1,7,2013-04-14,0,0,0,0,"0",0
1,1,2013-04-15,3941,526,1,0,"0",0
1,2,2013-04-16,3357,453,1,0,"0",0
1,3,2013-04-17,3649,500,1,0,"0",0
1,4,2013-04-18,2952,432,1,0,"0",0
1,5,2013-04-19,4303,526,1,0,"0",0
1,6,2013-04-20,4350,546,1,0,"0",0
1,7,2013-04-21,0,0,0,0,"0",0
1,1,2013-04-22,5672,623,1,1,"0",0
1,2,2013-04-23,4492,560,1,1,"0",0
1,3,2013-04-24,4309,512,1,1,"0",0
1,4,2013-04-25,3939,532,1,1,"0",0
1,5,2013-04-26,4841,572,1,1,"0",0
1,6,2013-04-27,5726,650,1,0,"0",0
1,7,2013-04-28,0,0,0,0,"0",0
1,1,2013-04-29,5821,641,1,1,"0",0
1,2,2013-04-30,5925,665,1,1,"0",0
1,3,2013-05-01,0,0,0,1,"a",0
1,4,2013-05-02,6486,677,1,1,"0",0
1,5,2013-05-03,6027,658,1,1,"0",0
1,6,2013-05-04,5912,813,1,0,"0",0
1,7,2013-05-05,0,0,0,0,"0",0
1,1,2013-05-06,4568,562,1,0,"0",0
1,2,2013-05-07,4624,540,1,0,"0",0
1,3,2013-05-08,5230,631,1,0,"0",0
1,4,2013-05-09,0,0,0,0,"a",0
1,5,2013-05-10,5409,644,1,0,"0",0
1,6,2013-05-11,5064,640,1,0,"0",0
1,7,2013-05-12,0,0,0,0,"0",0
1,1,2013-05-13,6106,660,1,1,"0",0
1,2,2013-05-14,5083,574,1,1,"0",0
1,3,2013-05-15,4790,576,1,1,"0",0
1,4,2013-05-16,4448,544,1,1,"0",0
1,5,2013-05-17,4856,597,1,1,"0",0
1,6,2013-05-18,4413,535,1,0,"0",0
1,7,2013-05-19,0,0,0,0,"0",0
1,1,2013-05-20,0,0,0,0,"a",0
1,2,2013-05-21,4789,602,1,0,"0",0
1,3,2013-05-22,3559,507,1,0,"0",0
1,4,2013-05-23,4030,536,1,0,"0",0
1,5,2013-05-24,4232,534,1,0,"0",0
1,6,2013-05-25,4408,538,1,0,"0",0
1,7,2013-05-26,0,0,0,0,"0",0
1,1,2013-05-27,5519,606,1,1,"0",0
1,2,2013-05-28,4995,555,1,1,"0",0
1,3,2013-05-29,5784,641,1,1,"0",0
1,4,2013-05-30,0,0,0,1,"a",0
1,5,2013-05-31,7893,795,1,1,"0",0
1,6,2013-06-01,5693,662,1,0,"0",0
1,7,2013-06-02,0,0,0,0,"0",0
1,1,2013-06-03,5422,619,1,1,"0",0
1,2,2013-06-04,5220,558,1,1,"0",0
1,3,2013-06-05,5012,575,1,1,"0",0
1,4,2013-06-06,4881,555,1,1,"0",0
1,5,2013-06-07,4315,541,1,1,"0",0
1,6,2013-06-08,4262,511,1,0,"0",0
1,7,2013-06-09,0,0,0,0,"0",0
1,1,2013-06-10,4291,531,1,0,"0",0
1,2,2013-06-11,3784,500,1,0,"0",0
1,3,2013-06-12,3563,476,1,0,"0",0
1,4,2013-06-13,3661,461,1,0,"0",0
1,5,2013-06-14,4150,529,1,0,"0",0
1,6,2013-06-15,4766,567,1,0,"0",0
1,7,2013-06-16,0,0,0,0,"0",0
1,1,2013-06-17,5337,585,1,1,"0",0
1,2,2013-06-18,4633,554,1,1,"0",0
1,3,2013-06-19,4180,517,1,1,"0",0
1,4,2013-06-20,5011,539,1,1,"0",0
1,5,2013-06-21,5173,542,1,1,"0",0
1,6,2013-06-22,4341,512,1,0,"0",0
1,7,2013-06-23,0,0,0,0,"0",0
1,1,2013-06-24,3549,494,1,0,"0",0
1,2,2013-06-25,4536,528,1,0,"0",0
1,3,2013-06-26,3827,508,1,0,"0",0
1,4,2013-06-27,3593,464,1,0,"0",0
1,5,2013-06-28,4407,568,1,0,"0",0
1,6,2013-06-29,5804,671,1,0,"0",0
1,7,2013-06-30,0,0,0,0,"0",0
1,1,2013-07-01,5614,614,1,1,"0",0
1,2,2013-07-02,5868,614,1,1,"0",0
1,3,2013-07-03,5875,634,1,1,"0",0
1,4,2013-07-04,5701,634,1,1,"0",0
1,5,2013-07-05,4986,603,1,1,"0",0
1,6,2013-07-06,4090,498,1,0,"0",1
1,7,2013-07-07,0,0,0,0,"0",1
1,1,2013-07-08,4475,523,1,0,"0",1
1,2,2013-07-09,4047,503,1,0,"0",1
1,3,2013-07-10,3963,496,1,0,"0",1
1,4,2013-07-11,4053,486,1,0,"0",1
1,5,2013-07-12,4134,514,1,0,"0",1
1,6,2013-07-13,4015,490,1,0,"0",1
1,7,2013-07-14,0,0,0,0,"0",1
1,1,2013-07-15,6377,657,1,1,"0",1
1,2,2013-07-16,5643,582,1,1,"0",1
1,3,2013-07-17,4946,544,1,1,"0",1
1,4,2013-07-18,4904,533,1,1,"0",1
1,5,2013-07-19,4275,495,1,1,"0",1
1,6,2013-07-20,4421,544,1,0,"0",1
1,7,2013-07-21,0,0,0,0,"0",1
1,1,2013-07-22,4149,493,1,0,"0",1
1,2,2013-07-23,3937,497,1,0,"0",1
1,3,2013-07-24,3849,453,1,0,"0",1
1,4,2013-07-25,3502,451,1,0,"0",1
1,5,2013-07-26,4221,516,1,0,"0",1
1,6,2013-07-27,3352,456,1,0,"0",1
1,7,2013-07-28,0,0,0,0,"0",1
1,1,2013-07-29,6290,630,1,1,"0",1
1,2,2013-07-30,5773,630,1,1,"0",1
1,3,2013-07-31,5572,624,1,1,"0",1
1,4,2013-08-01,4994,555,1,1,"0",1
1,5,2013-08-02,4494,562,1,1,"0",1
1,6,2013-08-03,4461,553,1,0,"0",1
1,7,2013-08-04,0,0,0,0,"0",1
1,1,2013-08-05,4086,522,1,0,"0",1
1,2,2013-08-06,3582,477,1,0,"0",1
1,3,2013-08-07,4143,512,1,0,"0",1
1,4,2013-08-08,3680,466,1,0,"0",1
1,5,2013-08-09,3257,418,1,0,"0",1
1,6,2013-08-10,3768,457,1,0,"0",1
1,7,2013-08-11,0,0,0,0,"0",1
1,1,2013-08-12,5326,600,1,1,"0",1
1,2,2013-08-13,5299,573,1,1,"0",1
1,3,2013-08-14,4724,574,1,1,"0",1
1,4,2013-08-15,4575,538,1,1,"0",1
1,5,2013-08-16,4552,527,1,1,"0",1
1,6,2013-08-17,4078,503,1,0,"0",0
1,7,2013-08-18,0,0,0,0,"0",0
1,1,2013-08-19,3954,513,1,0,"0",0
1,2,2013-08-20,3492,475,1,0,"0",0
1,3,2013-08-21,3096,441,1,0,"0",0
1,4,2013-08-22,3703,498,1,0,"0",0
1,5,2013-08-23,3493,445,1,0,"0",0
1,6,2013-08-24,4752,601,1,0,"0",0
1,7,2013-08-25,0,0,0,0,"0",0
1,1,2013-08-26,5482,613,1,1,"0",0
1,2,2013-08-27,5156,556,1,1,"0",0
1,3,2013-08-28,4583,507,1,1,"0",0
1,4,2013-08-29,4804,534,1,1,"0",0
1,5,2013-08-30,5469,612,1,1,"0",0
1,6,2013-08-31,5317,598,1,0,"0",0
1,7,2013-09-01,0,0,0,0,"0",0
1,1,2013-09-02,4195,496,1,0,"0",0
1,2,2013-09-03,3928,507,1,0,"0",0
1,3,2013-09-04,3343,444,1,0,"0",0
1,4,2013-09-05,3883,465,1,0,"0",0
1,5,2013-09-06,3836,466,1,0,"0",0
1,6,2013-09-07,4663,555,1,0,"0",0
1,7,2013-09-08,0,0,0,0,"0",0
1,1,2013-09-09,5893,601,1,1,"0",0
1,2,2013-09-10,5403,599,1,1,"0",0
1,3,2013-09-11,5103,580,1,1,"0",0
1,4,2013-09-12,5079,586,1,1,"0",0
1,5,2013-09-13,5187,559,1,1,"0",0
1,6,2013-09-14,4663,619,1,0,"0",0
1,7,2013-09-15,0,0,0,0,"0",0
1,1,2013-09-16,4249,568,1,0,"0",0
1,2,2013-09-17,3685,502,1,0,"0",0
1,3,2013-09-18,3946,507,1,0,"0",0
1,4,2013-09-19,3717,469,1,0,"0",0
1,5,2013-09-20,3516,494,1,0,"0",0
1,6,2013-09-21,3909,522,1,0,"0",0
1,7,2013-09-22,0,0,0,0,"0",0
1,1,2013-09-23,4770,542,1,1,"0",0
1,2,2013-09-24,4274,492,1,1,"0",0
1,3,2013-09-25,4212,500,1,1,"0",0
1,4,2013-09-26,4481,537,1,1,"0",0
1,5,2013-09-27,4669,548,1,1,"0",0
1,6,2013-09-28,4175,538,1,0,"0",0
1,7,2013-09-29,0,0,0,0,"0",0
1,1,2013-09-30,4088,516,1,0,"0",0
1,2,2013-10-01,4178,508,1,0,"0",0
1,3,2013-10-02,4001,509,1,0,"0",0
1,4,2013-10-03,0,0,0,0,"a",0
1,5,2013-10-04,5447,619,1,0,"0",0
1,6,2013-10-05,5352,662,1,0,"0",0
1,7,2013-10-06,0,0,0,0,"0",0
1,1,2013-10-07,6004,626,1,1,"0",0
1,2,2013-10-08,5452,592,1,1,"0",0
1,3,2013-10-09,4957,596,1,1,"0",0
1,4,2013-10-10,5286,596,1,1,"0",0
1,5,2013-10-11,5896,670,1,1,"0",0
1,6,2013-10-12,4954,608,1,0,"0",0
1,7,2013-10-13,0,0,0,0,"0",0
1,1,2013-10-14,3773,478,1,0,"0",1
1,2,2013-10-15,3355,457,1,0,"0",1
1,3,2013-10-16,3383,452,1,0,"0",1
1,4,2013-10-17,3223,446,1,0,"0",1
1,5,2013-10-18,3566,490,1,0,"0",1
1,6,2013-10-19,3667,479,1,0,"0",1
1,7,2013-10-20,0,0,0,0,"0",1
1,1,2013-10-21,5055,571,1,1,"0",1
1,2,2013-10-22,4068,504,1,1,"0",1
1,3,2013-10-23,4612,505,1,1,"0",1
1,4,2013-10-24,4044,498,1,1,"0",1
1,5,2013-10-25,4573,576,1,1,"0",1
1,6,2013-10-26,4347,535,1,0,"0",0
1,7,2013-10-27,0,0,0,0,"0",0
1,1,2013-10-28,3557,494,1,0,"0",0
1,2,2013-10-29,3737,479,1,0,"0",0
1,3,2013-10-30,4119,496,1,0,"0",0
1,4,2013-10-31,4035,514,1,0,"0",0
1,5,2013-11-01,5471,707,1,0,"0",0
1,6,2013-11-02,5233,653,1,0,"0",0
1,7,2013-11-03,0,0,0,0,"0",0
1,1,2013-11-04,5861,620,1,1,"0",0
1,2,2013-11-05,5348,628,1,1,"0",0
1,3,2013-11-06,5572,611,1,1,"0",0
1,4,2013-11-07,5009,575,1,1,"0",0
1,5,2013-11-08,5242,583,1,1,"0",0
1,6,2013-11-09,4681,582,1,0,"0",0
1,7,2013-11-10,0,0,0,0,"0",0
1,1,2013-11-11,4014,519,1,0,"0",0
1,2,2013-11-12,4017,507,1,0,"0",0
1,3,2013-11-13,3310,464,1,0,"0",0
1,4,2013-11-14,3795,502,1,0,"0",0
1,5,2013-11-15,4016,504,1,0,"0",0
1,6,2013-11-16,5071,616,1,0,"0",0
1,7,2013-11-17,0,0,0,0,"0",0
1,1,2013-11-18,5927,681,1,1,"0",0
1,2,2013-11-19,5143,583,1,1,"0",0
1,3,2013-11-20,4936,586,1,1,"0",0
1,4,2013-11-21,4623,545,1,1,"0",0
1,5,2013-11-22,5058,581,1,1,"0",0
1,6,2013-11-23,5297,614,1,0,"0",0
1,7,2013-11-24,0,0,0,0,"0",0
1,1,2013-11-25,4600,575,1,0,"0",0
1,2,2013-11-26,4201,524,1,0,"0",0
1,3,2013-11-27,4561,530,1,0,"0",0
1,4,2013-11-28,4614,585,1,0,"0",0
1,5,2013-11-29,5623,665,1,0,"0",0
1,6,2013-11-30,6373,730,1,0,"0",0
1,7,2013-12-01,0,0,0,0,"0",0
1,1,2013-12-02,6943,754,1,1,"0",0
1,2,2013-12-03,6293,658,1,1,"0",0
1,3,2013-12-04,5688,627,1,1,"0",0
1,4,2013-12-05,5691,685,1,1,"0",0
1,5,2013-12-06,6112,673,1,1,"0",0
1,6,2013-12-07,5799,723,1,0,"0",0
1,7,2013-12-08,0,0,0,0,"0",0
1,1,2013-12-09,4462,576,1,0,"0",0
1,2,2013-12-10,4228,581,1,0,"0",0
1,3,2013-12-11,4301,543,1,0,"0",0
1,4,2013-12-12,4074,558,1,0,"0",0
1,5,2013-12-13,4703,594,1,0,"0",0
1,6,2013-12-14,6119,743,1,0,"0",0
1,7,2013-12-15,0,0,0,0,"0",0
1,1,2013-12-16,8277,825,1,1,"0",0
1,2,2013-12-17,7356,808,1,1,"0",0
1,3,2013-12-18,7821,828,1,1,"0",0
1,4,2013-12-19,6788,782,1,1,"0",0
1,5,2013-12-20,8414,895,1,1,"0",0
1,6,2013-12-21,8043,927,1,0,"0",0
1,7,2013-12-22,0,0,0,0,"0",0
1,1,2013-12-23,9528,1130,1,0,"0",1
1,2,2013-12-24,3204,385,1,0,"0",1
1,3,2013-12-25,0,0,0,0,"c",1
1,4,2013-12-26,0,0,0,0,"c",1
1,5,2013-12-27,6110,737,1,0,"0",1
1,6,2013-12-28,5659,716,1,0,"0",1
1,7,2013-12-29,0,0,0,0,"0",1
1,1,2013-12-30,7193,796,1,0,"0",1
1,2,2013-12-31,2362,298,1,0,"0",1
1,3,2014-01-01,0,0,0,0,"a",1
1,4,2014-01-02,4969,618,1,0,"0",1
1,5,2014-01-03,4190,552,1,0,"0",1
1,6,2014-01-04,5173,660,1,0,"0",1
1,7,2014-01-05,0,0,0,0,"0",1
1,1,2014-01-06,6194,649,1,1,"0",1
1,2,2014-01-07,5539,607,1,1,"0",1
1,3,2014-01-08,4931,589,1,1,"0",1
1,4,2014-01-09,4396,539,1,1,"0",1
1,5,2014-01-10,4486,559,1,1,"0",1
1,6,2014-01-11,4454,569,1,0,"0",0
1,7,2014-01-12,0,0,0,0,"0",0
1,1,2014-01-13,3994,545,1,0,"0",0
1,2,2014-01-14,3621,464,1,0,"0",0
1,3,2014-01-15,3776,486,1,0,"0",0
1,4,2014-01-16,3632,477,1,0,"0",0
1,5,2014-01-17,3803,479,1,0,"0",0
1,6,2014-01-18,5128,630,1,0,"0",0
1,7,2014-01-19,0,0,0,0,"0",0
1,1,2014-01-20,6148,653,1,1,"0",0
1,2,2014-01-21,5151,551,1,1,"0",0
1,3,2014-01-22,4562,549,1,1,"0",0
1,4,2014-01-23,4597,525,1,1,"0",0
1,5,2014-01-24,5098,587,1,1,"0",0
1,6,2014-01-25,4546,561,1,0,"0",0
1,7,2014-01-26,0,0,0,0,"0",0
1,1,2014-01-27,3601,517,1,0,"0",0
1,2,2014-01-28,3581,453,1,0,"0",0
1,3,2014-01-29,3789,491,1,0,"0",0
1,4,2014-01-30,4549,543,1,0,"0",0
1,5,2014-01-31,4906,589,1,0,"0",0
1,6,2014-02-01,5292,667,1,0,"0",0
1,7,2014-02-02,0,0,0,0,"0",0
1,1,2014-02-03,5839,638,1,1,"0",0
1,2,2014-02-04,5540,602,1,1,"0",0
1,3,2014-02-05,5031,581,1,1,"0",0
1,4,2014-02-06,4823,557,1,1,"0",0
1,5,2014-02-07,5596,636,1,1,"0",0
1,6,2014-02-08,4726,620,1,0,"0",0
1,7,2014-02-09,0,0,0,0,"0",0
1,1,2014-02-10,3591,502,1,0,"0",0
1,2,2014-02-11,3461,481,1,0,"0",0
1,3,2014-02-12,3662,508,1,0,"0",0
1,4,2014-02-13,3638,517,1,0,"0",0
1,5,2014-02-14,4647,591,1,0,"0",0
1,6,2014-02-15,5258,655,1,0,"0",0
1,7,2014-02-16,0,0,0,0,"0",0
1,1,2014-02-17,5393,606,1,1,"0",0
1,2,2014-02-18,4602,556,1,1,"0",0
1,3,2014-02-19,4935,547,1,1,"0",0
1,4,2014-02-20,4563,559,1,1,"0",0
1,5,2014-02-21,4727,550,1,1,"0",0
1,6,2014-02-22,4820,623,1,0,"0",0
1,7,2014-02-23,0,0,0,0,"0",0
1,1,2014-02-24,3826,481,1,0,"0",0
1,2,2014-02-25,3499,470,1,0,"0",0
1,3,2014-02-26,4108,491,1,0,"0",0
1,4,2014-02-27,3826,519,1,0,"0",0
1,5,2014-02-28,5031,603,1,0,"0",0
1,6,2014-03-01,5307,655,1,0,"0",0
1,7,2014-03-02,0,0,0,0,"0",0
1,1,2014-03-03,6198,616,1,1,"0",0
1,2,2014-03-04,5397,619,1,1,"0",0
1,3,2014-03-05,4916,592,1,1,"0",0
1,4,2014-03-06,4585,542,1,1,"0",0
1,5,2014-03-07,5340,588,1,1,"0",0
1,6,2014-03-08,4400,550,1,0,"0",0
1,7,2014-03-09,0,0,0,0,"0",0
1,1,2014-03-10,3573,469,1,0,"0",0
1,2,2014-03-11,3588,476,1,0,"0",0
1,3,2014-03-12,3805,499,1,0,"0",0
1,4,2014-03-13,3224,450,1,0,"0",0
1,5,2014-03-14,3883,502,1,0,"0",0
1,6,2014-03-15,5042,630,1,0,"0",0
1,7,2014-03-16,0,0,0,0,"0",0
1,1,2014-03-17,5563,628,1,1,"0",0
1,2,2014-03-18,5200,635,1,1,"0",0
1,3,2014-03-19,4036,496,1,1,"0",0
1,4,2014-03-20,4023,485,1,1,"0",0
1,5,2014-03-21,4510,542,1,1,"0",0
1,6,2014-03-22,5241,628,1,0,"0",0
1,7,2014-03-23,0,0,0,0,"0",0
1,1,2014-03-24,3850,511,1,0,"0",0
1,2,2014-03-25,3136,448,1,0,"0",0
1,3,2014-03-26,3225,443,1,0,"0",0
1,4,2014-03-27,3847,512,1,0,"0",0
1,5,2014-03-28,3987,471,1,0,"0",0
1,6,2014-03-29,4583,548,1,0,"0",0
1,7,2014-03-30,0,0,0,0,"0",0
1,1,2014-03-31,6008,640,1,1,"0",0
1,2,2014-04-01,5407,583,1,1,"0",0
1,3,2014-04-02,4834,539,1,1,"0",0
1,4,2014-04-03,4556,526,1,1,"0",0
1,5,2014-04-04,4738,552,1,1,"0",0
1,6,2014-04-05,4599,571,1,0,"0",0
1,7,2014-04-06,0,0,0,0,"0",0
1,1,2014-04-07,3751,497,1,0,"0",0
1,2,2014-04-08,3990,496,1,0,"0",0
1,3,2014-04-09,3919,528,1,0,"0",0
1,4,2014-04-10,3948,501,1,0,"0",0
1,5,2014-04-11,3733,507,1,0,"0",0
1,6,2014-04-12,4435,570,1,0,"0",0
1,7,2014-04-13,0,0,0,0,"0",0
1,1,2014-04-14,6803,693,1,1,"0",1
1,2,2014-04-15,6196,672,1,1,"0",1
1,3,2014-04-16,6381,662,1,1,"0",1
1,4,2014-04-17,6160,703,1,1,"0",1
1,5,2014-04-18,0,0,0,1,"b",1
1,6,2014-04-19,5871,642,1,0,"0",1
1,7,2014-04-20,0,0,0,0,"0",1
1,1,2014-04-21,0,0,0,0,"b",1
1,2,2014-04-22,4133,563,1,0,"0",1
1,3,2014-04-23,3482,434,1,0,"0",1
1,4,2014-04-24,3376,461,1,0,"0",1
1,5,2014-04-25,3710,468,1,0,"0",1
1,6,2014-04-26,3989,535,1,0,"0",0
1,7,2014-04-27,0,0,0,0,"0",0
1,1,2014-04-28,5488,607,1,1,"0",0
1,2,2014-04-29,5923,628,1,1,"0",0
1,3,2014-04-30,5870,624,1,1,"0",0
1,4,2014-05-01,0,0,0,1,"a",0
1,5,2014-05-02,6790,732,1,1,"0",0
1,6,2014-05-03,5498,633,1,0,"0",0
1,7,2014-05-04,0,0,0,0,"0",0
1,1,2014-05-05,5325,615,1,1,"0",0
1,2,2014-05-06,5055,585,1,1,"0",0
1,3,2014-05-07,5075,604,1,1,"0",0
1,4,2014-05-08,5222,614,1,1,"0",0
1,5,2014-05-09,5237,622,1,1,"0",0
1,6,2014-05-10,5996,710,1,0,"0",0
1,7,2014-05-11,0,0,0,0,"0",0
1,1,2014-05-12,3957,555,1,0,"0",0
1,2,2014-05-13,3535,449,1,0,"0",0
1,3,2014-05-14,3710,474,1,0,"0",0
1,4,2014-05-15,3589,491,1,0,"0",0
1,5,2014-05-16,3863,479,1,0,"0",0
1,6,2014-05-17,3785,512,1,0,"0",0
1,7,2014-05-18,0,0,0,0,"0",0
1,1,2014-05-19,5637,608,1,1,"0",0
1,2,2014-05-20,4909,549,1,1,"0",0
1,3,2014-05-21,4298,510,1,1,"0",0
1,4,2014-05-22,3801,481,1,1,"0",0
1,5,2014-05-23,4968,526,1,1,"0",0
1,6,2014-05-24,4574,516,1,0,"0",0
1,7,2014-05-25,0,0,0,0,"0",0
1,1,2014-05-26,3912,494,1,0,"0",0
1,2,2014-05-27,3971,511,1,0,"0",0
1,3,2014-05-28,4616,581,1,0,"0",0
1,4,2014-05-29,0,0,0,0,"a",0
1,5,2014-05-30,5407,628,1,0,"0",0
1,6,2014-05-31,4985,560,1,0,"0",0
1,7,2014-06-01,0,0,0,0,"0",0
1,1,2014-06-02,6071,609,1,1,"0",0
1,2,2014-06-03,5614,593,1,1,"0",0
1,3,2014-06-04,5229,570,1,1,"0",0
1,4,2014-06-05,5278,585,1,1,"0",0
1,5,2014-06-06,4957,575,1,1,"0",0
1,6,2014-06-07,4923,555,1,0,"0",0
1,7,2014-06-08,0,0,0,0,"0",0
1,1,2014-06-09,0,0,0,0,"a",0
1,2,2014-06-10,4607,560,1,0,"0",0
1,3,2014-06-11,4207,535,1,0,"0",0
1,4,2014-06-12,3702,489,1,0,"0",0
1,5,2014-06-13,3901,498,1,0,"0",0
1,6,2014-06-14,4757,562,1,0,"0",0
1,7,2014-06-15,0,0,0,0,"0",0
1,1,2014-06-16,4788,529,1,1,"0",0
1,2,2014-06-17,5770,594,1,1,"0",0
1,3,2014-06-18,5256,567,1,1,"0",0
1,4,2014-06-19,0,0,0,1,"a",0
1,5,2014-06-20,6362,709,1,1,"0",0
1,6,2014-06-21,3982,496,1,0,"0",0
1,7,2014-06-22,0,0,0,0,"0",0
1,1,2014-06-23,3755,456,1,0,"0",0
1,2,2014-06-24,3351,444,1,0,"0",0
1,3,2014-06-25,3727,440,1,0,"0",0
1,4,2014-06-26,2749,368,1,0,"0",0
1,5,2014-06-27,4019,501,1,0,"0",0
1,6,2014-06-28,5162,566,1,0,"0",0
1,7,2014-06-29,0,0,0,0,"0",0
1,1,2014-06-30,5738,641,1,1,"0",0
1,2,2014-07-01,5138,533,1,1,"0",0
1,3,2014-07-02,5161,560,1,1,"0",0
1,4,2014-07-03,4756,514,1,1,"0",0
1,5,2014-07-04,4025,450,1,1,"0",0
1,6,2014-07-05,5176,589,1,0,"0",0
1,7,2014-07-06,0,0,0,0,"0",0
1,1,2014-07-07,4223,505,1,0,"0",0
1,2,2014-07-08,4081,510,1,0,"0",0
1,3,2014-07-09,3547,485,1,0,"0",0
1,4,2014-07-10,3741,472,1,0,"0",0
1,5,2014-07-11,4020,463,1,0,"0",0
1,6,2014-07-12,4409,531,1,0,"0",0
1,7,2014-07-13,0,0,0,0,"0",0
1,1,2014-07-14,5083,532,1,1,"0",0
